web-scraper-order,web-scraper-start-url,countries
"1531834983-52","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Djibouti"
"1531834983-122","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Montenegro"
"1531834983-160","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Sierra Leone"
"1531834983-90","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Jamaica"
"1531834983-193","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Venezuela"
"1531834983-151","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Saint Kitts and Nevis"
"1531834983-58","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Equatorial Guinea"
"1531834983-51","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Denmark"
"1531834983-100","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Lebanon"
"1531834983-59","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Eritrea"
"1531834983-134","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Norway"
"1531834983-72","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Greece"
"1531834983-130","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Nicaragua"
"1531834983-105","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Lithuania"
"1531834983-22","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bermuda"
"1531834983-143","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Poland"
"1531834983-186","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Turks & Caicos Islands"
"1531834983-159","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Seychelles"
"1531834983-25","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Bosnia & Herzegovina"
"1531834983-184","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Turkey"
"1531834983-2","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Afghanistan"
"1531834983-190","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","United States of America (USA)"
"1531834983-182","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Trinidad & Tobago"
"1531834983-119","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Moldova, Republic of"
"1531834983-129","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","New Zealand"
"1531834983-175","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Switzerland"
"1531834983-101","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Lesotho"
"1531834983-116","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mauritius"
"1531834983-57","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","El Salvador"
"1531834983-38","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Central African Republic"
"1531834983-49","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Czech Republic"
"1531834983-141","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Peru"
"1531834983-63","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Finland"
"1531834983-133","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Korea, Democratic Republic of (North Korea)"
"1531834983-7","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Anguilla"
"1531834983-27","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Brazil"
"1531834983-44","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Congo"
"1531834983-42","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Colombia"
"1531834983-188","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Ukraine"
"1531834983-191","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Uruguay"
"1531834983-180","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Timor Leste"
"1531834983-196","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Virgin Islands (US)"
"1531834983-197","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Yemen"
"1531834983-97","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Kyrgyz Republic (Kyrgyzstan)"
"1531834983-179","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Thailand"
"1531834983-20","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Belize"
"1531834983-135","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Oman"
"1531834983-112","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mali"
"1531834983-147","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Reunion"
"1531834983-150","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Rwanda"
"1531834983-37","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cayman Islands"
"1531834983-187","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Uganda"
"1531834983-107","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Republic of Macedonia"
"1531834983-98","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Laos"
"1531834983-91","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Japan"
"1531834983-109","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Malawi"
"1531834983-121","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mongolia"
"1531834983-68","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Georgia"
"1531834983-61","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Ethiopia"
"1531834983-125","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Mozambique"
"1531834983-87","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Israel and the Occupied Territories"
"1531834983-70","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Ghana"
"1531834983-41","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","China"
"1531834983-195","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Virgin Islands (UK)"
"1531834983-199","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Zimbabwe"
"1531834983-69","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Germany"
"1531834983-48","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Cyprus"
"1531834983-174","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Sweden"
"1531834983-81","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Hungary"
"1531834983-21","https://www.dfa.ie/travel/travel-advice/a-z-list-of-countries/","Benin"
